,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,THE SORRENTO HOTEL PARTNERSHIP,THE SORRENTO HOTEL PARTNERSHIP,600 371 216,1056327,"900 MADISON ST, SEATTLE, WA, 98104, UNITED STATES",Active,False,False,False
1,PFHC-601 ROY LLC,"PFHC-601 ROY, LLC",602 907 574,933453,"11010 NE 8TH ST STE 465, BELLEVUE, WA, 98004-4408, UNITED STATES",Delinquent,False,False,False
2,HIT PORTFOLIO II OWNER LLC,"HIT PORTFOLIO II OWNER, LLC",603 438 306,256951,"11325 RANDOM HILLS RD, SUITE 360, FAIRFAX, VA, 22030-0972, UNITED STATES",Active,False,False,False
3,SEQUIM LODGING CORPORATION,SEQUIM LODGING CORPORATION,601 532 196,425191,"226 7TH AVE N, SEATTLE, WA, 98109-5007, UNITED STATES",Active,False,False,False
4,RAINIER HOSPITALITY LLC,RAINIER HOSPITALITY LLC,601 983 093,925253,"3926 AURORA AVE N, SEATTLE, WA, 98103-7802, UNITED STATES",Active,False,False,False
5,DREAM LEGACY PRU SPE LLC,DREAM LEGACY PRU SPE LLC,603 538 073,1110497,"155 108TH AVE NE STE 500, BELLEVUE, WA, 98004-5901, UNITED STATES",Active,True,False,False
