,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,PROLOGIS-EXCHANGE 646 SOUTH HOLGATE STREET LLC,PROLOGIS-EXCHANGE 646 SOUTH HOLGATE STREET LLC,603 524 165,381503,,Merged,False,False,False
1,WESTERN CASTING LLC,WESTERN CASTING LLC,602 254 175,1047474,"4039 21ST AVE W STE 306, SEATTLE, WA, 98199-1252, UNITED STATES",Active,False,False,False
2,66 SOUTH HANFORD STREET LIMITED PARTNERSHIP,66 SOUTH HANFORD STREET LIMITED PARTNERSHIP,602 490 683,273524,"270 S HANFORD ST STE 100, SEATTLE, WA, 98134-1838, UNITED STATES",Active,False,False,False
3,MSI 1943 1ST AVE LLC,MSI 1943 1ST AVE LLC,602 678 484,331512,"316 OCCIDENTAL AVE S STE 300, SEATTLE, WA, 98104-4421, UNITED STATES",Active,False,False,False
4,TERRENO OCCIDENTAL LLC,TERRENO OCCIDENTAL LLC,604 752 449,1456661,"101 MONTGOMERY ST STE 200, SAN FRANCISCO, CA, 94104-4124, UNITED STATES",Active,False,False,False
5,GEORGETOWN VENTURE LLC,GEORGETOWN VENTURE LLC,604 316 355,1222372,"2000 MCKINNEY AVE STE 1000, DALLAS, TX, 75201-2027, UNITED STATES",Active,False,False,False
6,FU QUAN LLC,FU QUAN LLC,602 537 704,699253,"800 MAYNARD AVE S, SEATTLE, WA, 98134-1334, UNITED STATES",Active,False,False,False
7,CEDARSTRAND PROPERTIES LLC,CEDARSTRAND PROPERTIES LLC,602 015 611,610726,"505 5TH AVE S STE 900, SEATTLE, WA, 98104-3821, UNITED STATES",Active,False,False,False
8,ROEBLING SEATTLE LLC,ROEBLING SEATTLE LLC,604 132 494,927855,"901 OCCIDENTAL AVE S, SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
9,URG OLYMPIC BUILDING LLC,URG OLYMPIC BUILDING LLC,603 247 255,499573,"1425 4TH AVE STE 200, SEATTLE, WA, 98101-2274, UNITED STATES",Active,False,False,False
10,EVERGREEN TREATMENT SERVICES,EVERGREEN TREATMENT SERVICES,601 138 490,117341,"4634 E MARGINAL WAY S STE C110, SEATTLE, WA, 98134-2341, UNITED STATES",Active,False,False,False
11,NORTH SEATTLE PROPERTIES III LLC,NORTH SEATTLE PROPERTIES III LLC,602 692 989,865423,"10750 AURORA AVE N, SEATTLE, WA, 98133-8883, UNITED STATES",Active,False,False,False
12,EXTRA SPACE PROPERTIES SEVENTY ONE LLC,EXTRA SPACE PROPERTIES SEVENTY ONE LLC,603 067 407,688472,,,False,True,True
13,COMPASS BROADVIEW LLC,COMPASS BROADVIEW LLC,604 069 484,634420,"220 DEXTER AVE N, SEATTLE, WA, 98109, UNITED STATES",Active,False,False,False
14,LEILANI ON GREENWOOD APARTMENTS LLC,LEILANI ON GREENWOOD APARTMENTS LLC,603 427 928,1128944,"9757 NE JUANITA DR #300, KIRKLAND, WA, 98034, UNITED STATES",Active,False,False,False
15,MERIDIAN TERRACE APARTMENTS LLC,MERIDIAN TERRACE APARTMENTS LLC,604 541 529,1327192,"2825 EASTLAKE AVE E STE 200, SEATTLE, WA, 98102-3085, UNITED STATES",Active,False,False,False
16,COUCH INVESTMENTS II LLC,COUCH INVESTMENTS II LLC,603 180 743,122528,"650 OXFORD STEET, SUITE 3, PALO ALTO, WA, 94306, UNITED STATES",Active,False,False,False
17,OLYMPIC VIEW APARTMENTS LLC,OLYMPIC VIEW APARTMENTS LLC,603 471 206,381581,"1109 1ST AVE, SUITE 210, SEATTLE, WA, 98101-2961, UNITED STATES",Administratively Dissolved,False,False,False
18,GREENWOOD WINCHESTER APARTMENTS LLC,GREENWOOD WINCHESTER APARTMENTS LLC,603 392 627,210647,"4115 ROOSEVELT WAY NE, SEATTLE, WA, 98105-6494, UNITED STATES",Active,False,False,False
19,LEILANI AT 124 APARTMENTS LLC,LEILANI AT 124 APARTMENTS LLC,603 563 377,1128942,"9757 NE JUANITA DR #300, KIRKLAND, WA, 98034, UNITED STATES",Active,False,False,False
20,AKI 1 LLC,AKI 1 LLC,603 352 588,483181,"1253 S JACKSON ST STE A, SEATTLE, WA, 98144-3075, UNITED STATES",Active,False,False,False
21,TIME WARPP III LLC,TIME WARPP III LLC,602 715 610,1044574,"2825 EASTLAKE AVE E STE 335, SEATTLE, WA, 98102-3082, UNITED STATES",Active,False,False,False
22,BROADVIEW 125 LLC,BROADVIEW 125 LLC,602 163 640,75023,"1200 ALKI AVE SW, UNIT 1, SEATTLE, WA, 98116-4883, UNITED STATES",Active,False,False,False
23,AMFP V AMESBURY LLC,AMFP V AMESBURY LLC,604 814 273,1499006,"100 PARK AVE STE 3500, NEW YORK, NY, 10017-5516, UNITED STATES",Active,False,False,False
24,HR ACQUISITION I CORPORATION,HR ACQUISITION I CORPORATION,601 773 559,262237,,,False,True,True
25,EBERHARTER/MERIDIAN LLC,EBERHARTER/MERIDIAN LLC,602 935 741,139007,"3231 MAGNOLIA BLVD W, SEATTLE, WA, 98199-2414, UNITED STATES",Active,False,False,False
26,SEATTLE HOTEL INVESTMENT LLC,SEATTLE HOTEL INVESTMENT LLC,604 067 358,959493,"2628 108TH AVE NE, BELLEVUE, WA, 98004, UNITED STATES",Active,False,False,False
27,LIFE YANCY 653 LLC,LIFE YANCY 653 LLC,604 520 247,1311578,"LIFE STORAGE 6467 MAIN ST, WILLIAMSVILLE, NY, 14221, UNITED STATES",Active,False,False,False
28,CBYW WEST SEATTLE PROPCO LLC,CBYW WEST SEATTLE PROPCO LLC,604 054 510,600046,"4500 DORR ST, TOLEDO, OH, 43615, UNITED STATES",Active,False,False,False
29,SOCKO LLC,SOCKO LLC,603 248 284,445854,"2753 124TH AVE SE, BELLEVUE, WA, 98005-4100, UNITED STATES",Active,False,False,False
30,BARTON COURT ASSOCIATES LLC,BARTON COURT ASSOCIATES LLC,602 064 372,569203,"1938 43RD AVE E, SEATTLE, WA, 98112-3235, UNITED STATES",Active,False,False,False
31,FAIRWAY BUILDING LLC,FAIRWAY BUILDING LLC,603 048 672,672569,"2611 NE 113TH ST STE 300, SEATTLE, WA, 98125-6700, UNITED STATES",Active,False,False,False
32,HARBOR SQUARE APARTMENTS LLC,HARBOR SQUARE APARTMENTS LLC,604 007 101,144578,"4000 ISLAND BLVD, APARTMENT 2306, AVENTURA, FL, 33160-2533, UNITED STATES",Active,False,False,False
