,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,IMMUNEX CORPORATION,IMMUNEX CORPORATION,602 162 800,737688,"1 AMGEN CENTER DR, THOUSAND OAKS, CA, 91320-1730, UNITED STATES",Active,False,False,False
1,SALMON BAY WATERWAY INVESTMENTS LLC,SALMON BAY WATERWAY INVESTMENTS LLC,604 456 173,1291656,"1215 FOURTH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",Active,False,False,False
2,MINI-MAX LLC,MINI-MAX LLC,601 997 702,870965,"2656 15TH AVE W, SEATTLE, WA, 98119-2133, UNITED STATES",Active,False,False,False
3,DS INTERBAY URBAN CENTER LP,DS INTERBAY URBAN CENTER LP,603 484 258,146831,"200 E BAKER ST #100, COSTA MESA, CA, 92626, UNITED STATES",Withdrawn,False,False,False
4,DRAVUS APARTMENTS LLC,DRAVUS APARTMENTS LLC,603 417 037,145619,"200 1ST AVE W STE 520, SEATTLE, WA, 98119-4298, UNITED STATES",Active,False,False,False
5,ZELLA APARTMENTS LLC,ZELLA APARTMENTS LLC,604 069 304,1164148,"16215 NE 124TH ST, REDMOND, WA, 98052, UNITED STATES",Active,False,False,False
6,2ND & JOHN APARTMENTS LLC,2ND & JOHN APARTMENTS LLC,604 476 416,1291247,"7010 E ACOMA DR STE 204, SCOTTSDALE, AZ, 85254-3550, UNITED STATES",Active,False,False,False
7,EQR-METRO ON FIRST LLC,EQR-METRO ON FIRST LLC,604 404 969,1263326,"TWO NORTH RIVERSIDE PLAZA, SUITE 400, CHICAGO, IL, 60606, UNITED STATES",Active,False,False,False
8,ASN SEATTLE LLC,ASN SEATTLE LLC,602 512 234,556036,"TWO NORTH RIVERSIDE PLAZA, SUITE 400, CHICAGO, IL, 60606, UNITED STATES",Active,False,False,False
9,KINNEAR LLC,KINNEAR LLC,602 885 588,286635,"2302 50TH AVE NW, GIG HARBOR, WA, 98335-7558, UNITED STATES",Delinquent,False,False,False
10,VIKMIN PROPERTIES LLC,VIKMIN PROPERTIES LLC,603 178 906,531348,"914 LAKESIDE AVE S, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False
11,GLEN EDEN LLC,GLEN EDEN LLC,604 078 243,1117063,"121 LAKESIDE AVE, STE B, SEATTLE, WA, 98122-6599, UNITED STATES",Active,False,False,False
12,JAC-VW CORPORATION,JAC-VW CORPORATION,601 263 736,765460,"705 2ND AVE STE 800, SEATTLE, WA, 98104-1711, UNITED STATES",Active,False,False,False
13,CRE HH PARTNERS LLC,CRE HH PARTNERS LLC,604 830 699,1514341,"2930 WESTLAKE AVE N STE 100, SEATTLE, WA, 98109-1968, UNITED STATES",Active,False,False,False
14,MERCER CREST LLC,MERCER CREST LLC,603 455 324,348390,"121 LAKESIDE AVE, STE B, SEATTLE, WA, 98122-6599, UNITED STATES",Active,False,False,False
15,RAVENSTONE APARTMENTS LLC,RAVENSTONE APARTMENTS LLC,603 334 667,916921,"801 2ND AVE STE 700, SEATTLE, WA, 98104-1573, UNITED STATES",Active,False,False,False
16,FOUNTAIN COURT APARTMENTS LLC,FOUNTAIN COURT APARTMENTS LLC,604 666 924,1399771,"2825 EASTLAKE AVE E STE 200, SEATTLE, WA, 98102-3085, UNITED STATES",Active,False,False,False
17,GREX RESIDENCES LLC,GREX RESIDENCES LLC,602 758 174,208482,"2107 12TH AVE EAST, SEATTLE, WA, 98102, UNITED STATES",Administratively Dissolved,False,False,False
18,GREX RESIDENCES LLC,GREX RESIDENCES LLC,604 914 048,1561293,"2107 12TH AVE E, SEATTLE, WA, 98102-4115, UNITED STATES",Active,False,False,False
19,QUEEN ANNE 23 LLC,QUEEN ANNE 23 LLC,602 594 716,928317,"1625 INTERLAKEN PL E, SEATTLE, WA, 98112-3424, UNITED STATES",Active,False,False,False
20,PARKER APARTMENTS LIMITED PARTNERSHIP,PARKER APARTMENTS LIMITED PARTNERSHIP,603 397 652,1139978,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False
21,INTERBAY MM HOLDING LLC,INTERBAY MM HOLDING LLC,604 976 278,1603526,"1800 112TH AVE NE STE 310, BELLEVUE, WA, 98009, UNITED STATES",Active,False,False,False
22,SEATTLE PACIFIC UNIVERSITY,SEATTLE PACIFIC UNIVERSITY,178 020 732,927334,"3307 3RD AVE W, SEATTLE, WA, 98119-1940, UNITED STATES",Active,False,False,False
23,ON THE BOARDS,ON THE BOARDS,600 421 230,909657,"100 W ROY ST, SEATTLE, WA, 98119-3830, UNITED STATES",Active,False,False,False
24,BAYVIEW MANOR HOMES,BAYVIEW MANOR HOMES,578 047 760,568112,"11 W ALOHA ST, SEATTLE, WA, 98119-3743, UNITED STATES",Active,False,False,False
25,1700 W ARMORY LLC,1700 W ARMORY LLC,604 151 521,59341,"14205 SE 36TH ST STE 1001, SUITE 1001, BELLEVUE, WA, 98006-1596, UNITED STATES",Active,False,False,False
26,1625 W WHEELER LLC,1625 W WHEELER LLC,604 305 399,1220149,"14205 SE 36TH ST STE 1001, SUITE 1001, BELLEVUE, WA, 98006-1596, UNITED STATES",Active,False,False,False
27,1570 W ARMORY LLC,1570 W ARMORY LLC,604 205 298,1172894,"14205 SE 36TH ST STE 143, BELLEVUE, WA, 98006-1596, UNITED STATES",Active,False,False,False
28,DS PROPERTIES 18 LP,DS PROPERTIES 18 LP,604 252 179,1200065,"200 EAST BAKER STREET, SUITE 100, COSTA MESA, CA, 92626, UNITED STATES",Active,False,False,False
29,ABADAN HOLDINGS LLC,ABADAN HOLDINGS LLC,602 370 487,461183,"15300 BOTHELL WAY NE, LK FOREST PK, WA, 98155-7634, UNITED STATES",Active,False,False,False
30,SREH 2018 MANAGEMENT LLC,SREH 2018 MANAGEMENT LLC,604 433 466,1275295,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False
31,GMT ELLIOTT PORTFOLIO LLC,GMT ELLIOTT PORTFOLIO LLC,604 958 793,1592703,"511 BOREN AVE N STE 300, SEATTLE, WA, 98109-5505, UNITED STATES",Active,False,False,False
32,SREH 2014 LLC,SREH 2014 LLC,603 391 691,1017673,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False
33,QA PARTNERS LLC,QA PARTNERS LLC,604 539 257,1322721,"1001 WESTLAKE AVE N, SEATTLE, WA, 98109-3525, UNITED STATES",Active,False,False,False
34,CREF3 NORFOLK STREET OWNER LLC,CREF3 NORFOLK STREET OWNER LLC,604 900 636,1551384,"1345 AVENUE OF THE AMERICAS FL 46, NEW YORK, NY, 10105-4302, UNITED STATES",Active,False,False,False
35,ANGELINE OWNER LLC,ANGELINE OWNER LLC,604 192 057,1168927,"701 5TH AVE STE 5700, SEATTLE, WA, 98104-7014, UNITED STATES",Active,False,False,False
36,TD FRANK FAMILY LLC,TD FRANK FAMILY LLC,603 508 214,989545,"104 29TH AVE, SEATTLE, WA, 98122, UNITED STATES",Active,False,False,False
37,COLONY SURF LLC,COLONY SURF LLC,604 477 730,1299259,"801 2ND AVE STE 700, SEATTLE, WA, 98104-1573, UNITED STATES",Active,False,False,False
38,SPENCER APARTMENTS LLC,SPENCER APARTMENTS LLC,604 369 991,1249424,"4619 243RD CT SE, SAMMAMISH, WA, 98029-6543, UNITED STATES",Active,False,False,False
39,SEWARD PARK APARTMENTS LLC,SEWARD PARK APARTMENTS LLC,602 268 883,422462,"16015 INTERNATIONAL BLVD, SEATAC, WA, 98188-2651, UNITED STATES",Active,True,False,False
40,PARK PLACE RHF HOUSING,PARK PLACE RHF HOUSING,602 012 462,897909,"911 N STUDEBAKER RD, LONG BEACH, CA, 90815-4900, UNITED STATES",Active,False,False,False
41,BIG BUY LLC,BIG BUY LLC,604 019 228,581732,"2916 S MCCLELLAN ST, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False
42,LILAC LODGE LLC,LILAC LODGE LLC,604 108 762,835329,"C/O SOUTHEAST EFFECTIVE DEV., 5117 RAINIER AVE S, SEATTLE, WA, 98118, UNITED STATES",Active,False,False,False
43,FONTANELLE APARTMENTS LLC,FONTANELLE APARTMENTS LLC,602 416 907,185219,"7325 RAINIER AVE S # 7, SEATTLE, WA, 98118-3978, UNITED STATES",Active,False,False,False
44,SOUTHEAST SEATTLE SENIOR FOUNDATION,SOUTHEAST SEATTLE SENIOR FOUNDATION,601 511 181,979297,"6727 RAINIER AVE S, SEATTLE, WA, 98118-3664, UNITED STATES",Active,False,False,False
45,R&W LANTERA LLC,R&W LANTERA LLC,604 946 836,1580516,"5119 S RAYMOND ST, SEATTLE, WA, 98118-2921, UNITED STATES",Active,True,False,False
46,IGLESIA NI CRISTO,IGLESIA NI CRISTO,601 792 820,773851,"770 AIRPORT BLVD, BURLINGAME, CA, 94010",Terminated,False,False,False
47,LMD RENTALS LLC,LMD RENTALS LLC,603 339 613,1129825,"8350 164TH AVE NE STE 200, REDMOND, WA, 98052-3813, UNITED STATES",Active,False,False,False
48,TWO SYNAGOGUES LLC,TWO SYNAGOGUES LLC,604 030 544,314168,"6721 51ST AVE S, SEATTLE, WA, 98118-3617, UNITED STATES",Active,False,False,False
49,B9 SS 40TH AVE OWNER LLC,B9 SS 40TH AVE OWNER LLC,604 640 694,1376758,"233 S WACKER DR STE 4700, CHICAGO, IL, 60606-6374, UNITED STATES",Active,False,False,False
50,EMPIRE WAY SHOPPING CENTER LLC,EMPIRE WAY SHOPPING CENTER LLC,602 815 713,146696,"217 PINE ST, #500, SEATTLE, WA, 98101-1590, UNITED STATES",Active,False,False,False
51,WCSD 6020 RAINIER AVE S LLC,WCSD 6020 RAINIER AVE S LLC,603 530 843,1020253,"600 WILSHIRE BLVD, SUITE 200, LOS ANGELES, CA, 90017-3212, UNITED STATES",Active,False,False,False
52,GREENWOOD FM PROPERTIES LLC,GREENWOOD FM PROPERTIES LLC,603 258 282,193911,"8623 PALATINE AVE N, SEATTLE, WA, 98103-3690, UNITED STATES",Active,True,False,False
53,SMALL FACES CHILD DEVELOPMENT CENTER,SMALL FACES CHILD DEVELOPMENT CENTER,601 141 409,1020046,"9250 14TH AVE NW, SEATTLE, WA, 98117-2306, UNITED STATES",Active,False,False,False
54,GREEN LAKE PRESBYTERIAN CHURCH PRESBYTERIAN CHURCH IN AMERICA,GREEN LAKE PRESBYTERIAN CHURCH PRESBYTERIAN CHURCH IN AMERICA,601 144 358,140012,,,False,True,True
55,820 NW 95TH STREET PROPERTY LLC,820 NW 95TH STREET PROPERTY LLC,604 766 946,1467466,"9526 W PICO BLVD, LOS ANGELES, CA, 90035-1202, UNITED STATES",Active,False,False,False
56,RSA SOUND VIEW LLC,RSA SOUND VIEW LLC,602 022 542,944942,"2825 EASTLAKE AVE E, 200, SEATTLE, WA, 98102-3062, UNITED STATES",Active,False,False,False
57,ALASKA HOUSE LLC,ALASKA HOUSE LLC,604 109 306,531432,"30 HUDSON YARDS, 72ND FL, NEW YORK, NY, 10001-2170, UNITED STATES",Active,False,False,False
58,6023 SW STEVENS LLC,6023 SW STEVENS LLC,604 929 343,1568489,"3720 CARILLON PT, KIRKLAND, WA, 98033-7455, UNITED STATES",Active,False,False,False
