Year,College/University,College/University,College/University,College/University,College/University,College/University,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,Office,Office,Office,Office,Office,Other,Other,Other,Other,Other,Other,Recreation,Recreation,Recreation,Recreation,Recreation,Recreation,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Services,Services,Services,Services,Services,Services,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,NA,NA,NA,NA,NA,NA
2035,2,2,2,2,2,0,0.89,0.89,0.89,0.89,0.89,0,1.72,1.72,1.72,1.72,1.72,0,3.62,3.62,3.62,3.62,3.62,0,1.57,1.57,1.57,1.57,1.57,0,0.69,0.69,0.69,0.69,0.69,0,4.79,4.79,4.79,4.79,4.79,0,0.65,0.65,0.65,0.65,0.65,0,0.46,0.46,0.46,0.46,0.46,0,0.44,0.44,0.44,0.44,0.44,0,1.51,1.51,1.51,1.51,1.51,0,2.29,2.29,2.29,2.29,2.29,0,0.27,0.27,0.27,0.27,0.27,0,0.84,0.84,0.84,0.84,0.84,0,4.13,4.13,4.13,4.13,4.13,0,0.64,0.64,0.64,0.64,0.64,0,0.17,0.17,0.17,0.17,0.17,0,1.5,1.5,1.5,1.5,1.5,0,1.03,1.03,1.03,1.03,1.03,0,2.5,2.5,2.5,2.5,2.5,0,0.84,0.84,0.84,0.84,0.84,0,0,0,0,0,0,0
2036,1.17,2,2,2,2,0,0.52,0.89,0.89,0.89,0.89,0,1,1.72,1.72,1.72,1.72,0,2.11,3.62,3.62,3.62,3.62,0,0.91,1.57,1.57,1.57,1.57,0,0.4,0.69,0.69,0.69,0.69,0,2.79,4.79,4.79,4.79,4.79,0,0.46,0.65,0.65,0.65,0.65,0,0.27,0.46,0.46,0.46,0.46,0,0.26,0.44,0.44,0.44,0.44,0,0.88,1.51,1.51,1.51,1.51,0,1.34,1.34,2.29,2.29,2.29,0,0.16,0.27,0.27,0.27,0.27,0,0.49,0.84,0.84,0.84,0.84,0,2.41,4.13,4.13,4.13,4.13,0,0.38,0.64,0.64,0.64,0.64,0,0.1,0.17,0.17,0.17,0.17,0,0.87,1.5,1.5,1.5,1.5,0,0.6,1.03,1.03,1.03,1.03,0,1.46,2.5,2.5,2.5,2.5,0,0.49,0.84,0.84,0.84,0.84,0,0,0,0,0,0,0
2037,1.17,1.17,2,2,2,0,0.52,0.52,0.89,0.89,0.89,0,1,1,1.72,1.72,1.72,0,2.11,2.11,3.62,3.62,3.62,0,0.91,0.91,1.57,1.57,1.57,0,0.4,0.4,0.69,0.69,0.69,0,2.79,2.79,4.79,4.79,4.79,0,0.46,0.46,0.65,0.65,0.65,0,0.27,0.27,0.46,0.46,0.46,0,0.26,0.26,0.44,0.44,0.44,0,0.88,0.88,1.51,1.51,1.51,0,1.34,1.34,2.29,2.29,2.29,0,0.16,0.16,0.27,0.27,0.27,0,0.49,0.49,0.84,0.84,0.84,0,2.41,2.41,4.13,4.13,4.13,0,0.38,0.38,0.64,0.64,0.64,0,0.1,0.1,0.17,0.17,0.17,0,0.87,0.87,1.5,1.5,1.5,0,0.6,0.6,1.03,1.03,1.03,0,1.46,1.46,2.5,2.5,2.5,0,0.49,0.49,0.84,0.84,0.84,0,0,0,0,0,0,0
2038,1.17,1.17,1.17,2,2,0,0.52,0.52,0.52,0.89,0.89,0,1,1,1,1.72,1.72,0,2.11,2.11,2.11,3.62,3.62,0,0.91,0.91,0.91,1.57,1.57,0,0.4,0.4,0.4,0.69,0.69,0,2.79,2.79,2.79,4.79,4.79,0,0.46,0.46,0.46,0.65,0.65,0,0.27,0.27,0.27,0.46,0.46,0,0.26,0.26,0.26,0.44,0.44,0,0.88,0.88,0.88,1.51,1.51,0,1.34,1.34,1.34,2.29,2.29,0,0.16,0.16,0.16,0.27,0.27,0,0.49,0.49,0.49,0.84,0.84,0,2.41,2.41,2.41,4.13,4.13,0,0.38,0.38,0.38,0.64,0.64,0,0.1,0.1,0.1,0.17,0.17,0,0.87,0.87,0.87,1.5,1.5,0,0.6,0.6,0.6,1.03,1.03,0,1.46,1.46,1.46,2.5,2.5,0,0.49,0.49,0.49,0.84,0.84,0,0,0,0,0,0,0
2039,1.17,1.17,1.17,1.17,2,0,0.52,0.52,0.52,0.52,0.89,0,1,1,1,1,1.72,0,2.11,2.11,2.11,2.11,3.62,0,0.91,0.91,0.91,0.91,1.57,0,0.4,0.4,0.4,0.4,0.69,0,2.79,2.79,2.79,2.79,4.79,0,0.46,0.46,0.46,0.46,0.65,0,0.27,0.27,0.27,0.27,0.46,0,0.26,0.26,0.26,0.26,0.44,0,0.88,0.88,0.88,0.88,1.51,0,1.34,1.34,1.34,1.34,2.29,0,0.16,0.16,0.16,0.16,0.27,0,0.49,0.49,0.49,0.49,0.84,0,2.41,2.41,2.41,2.41,4.13,0,0.38,0.38,0.38,0.38,0.64,0,0.1,0.1,0.1,0.1,0.17,0,0.87,0.87,0.87,0.87,1.5,0,0.6,0.6,0.6,0.6,1.03,0,1.46,1.46,1.46,1.46,2.5,0,0.49,0.49,0.49,0.49,0.84,0,0,0,0,0,0,0
2040,1.17,1.17,1.17,1.17,1.17,0,0.52,0.52,0.52,0.52,0.52,0,1,1,1,1,1,0,2.11,2.11,2.11,2.11,2.11,0,0.91,0.91,0.91,0.91,0.91,0,0.4,0.4,0.4,0.4,0.4,0,2.79,2.79,2.79,2.79,2.79,0,0.46,0.46,0.46,0.46,0.46,0,0.27,0.27,0.27,0.27,0.27,0,0.26,0.26,0.26,0.26,0.26,0,0.88,0.88,0.88,0.88,0.88,0,1.34,1.34,1.34,1.34,1.34,0,0.16,0.16,0.16,0.16,0.16,0,0.49,0.49,0.49,0.49,0.49,0,2.41,2.41,2.41,2.41,2.41,0,0.38,0.38,0.38,0.38,0.38,0,0.1,0.1,0.1,0.1,0.1,0,0.87,0.87,0.87,0.87,0.87,0,0.6,0.6,0.6,0.6,0.6,0,1.46,1.46,1.46,1.46,1.46,0,0.49,0.49,0.49,0.49,0.49,0,0,0,0,0,0,0
2041,0,1.17,1.17,1.17,1.17,0,0,0.52,0.52,0.52,0.52,0,0,1,1,1,1,0,0,2.11,2.11,2.11,2.11,0,0,0.91,0.91,0.91,0.91,0,0,0.4,0.4,0.4,0.4,0,0,2.79,2.79,2.79,2.79,0,0.27,0.46,0.46,0.46,0.46,0,0,0.27,0.27,0.27,0.27,0,0,0.26,0.26,0.26,0.26,0,0,0.88,0.88,0.88,0.88,0,0,0,1.34,1.34,1.34,0,0,0.16,0.16,0.16,0.16,0,0,0.49,0.49,0.49,0.49,0,0,2.41,2.41,2.41,2.41,0,0,0.38,0.38,0.38,0.38,0,0,0.1,0.1,0.1,0.1,0,0,0.87,0.87,0.87,0.87,0,0,0.6,0.6,0.6,0.6,0,0,1.46,1.46,1.46,1.46,0,0,0.49,0.49,0.49,0.49,0,0,0,0,0,0,0
2042,0,0,1.17,1.17,1.17,0,0,0,0.52,0.52,0.52,0,0,0,1,1,1,0,0,0,2.11,2.11,2.11,0,0,0,0.91,0.91,0.91,0,0,0,0.4,0.4,0.4,0,0,0,2.79,2.79,2.79,0,0.27,0.27,0.46,0.46,0.46,0,0,0,0.27,0.27,0.27,0,0,0,0.26,0.26,0.26,0,0,0,0.88,0.88,0.88,0,0,0,1.34,1.34,1.34,0,0,0,0.16,0.16,0.16,0,0,0,0.49,0.49,0.49,0,0,0,2.41,2.41,2.41,0,0,0,0.38,0.38,0.38,0,0,0,0.1,0.1,0.1,0,0,0,0.87,0.87,0.87,0,0,0,0.6,0.6,0.6,0,0,0,1.46,1.46,1.46,0,0,0,0.49,0.49,0.49,0,0,0,0,0,0,0
2043,0,0,0,1.17,1.17,0,0,0,0,0.52,0.52,0,0,0,0,1,1,0,0,0,0,2.11,2.11,0,0,0,0,0.91,0.91,0,0,0,0,0.4,0.4,0,0,0,0,2.79,2.79,0,0.27,0.27,0.27,0.46,0.46,0,0,0,0,0.27,0.27,0,0,0,0,0.26,0.26,0,0,0,0,0.88,0.88,0,0,0,0,1.34,1.34,0,0,0,0,0.16,0.16,0,0,0,0,0.49,0.49,0,0,0,0,2.41,2.41,0,0,0,0,0.38,0.38,0,0,0,0,0.1,0.1,0,0,0,0,0.87,0.87,0,0,0,0,0.6,0.6,0,0,0,0,1.46,1.46,0,0,0,0,0.49,0.49,0,0,0,0,0,0,0
2044,0,0,0,0,1.17,0,0,0,0,0,0.52,0,0,0,0,0,1,0,0,0,0,0,2.11,0,0,0,0,0,0.91,0,0,0,0,0,0.4,0,0,0,0,0,2.79,0,0.27,0.27,0.27,0.27,0.46,0,0,0,0,0,0.27,0,0,0,0,0,0.26,0,0,0,0,0,0.88,0,0,0,0,0,1.34,0,0,0,0,0,0.16,0,0,0,0,0,0.49,0,0,0,0,0,2.41,0,0,0,0,0,0.38,0,0,0,0,0,0.1,0,0,0,0,0,0.87,0,0,0,0,0,0.6,0,0,0,0,0,1.46,0,0,0,0,0,0.49,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
