Owner,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,Electricity_kBtu_,NaturalGas_kBtu_,SteamUse_kBtu_
4135 AC LLC +ADLER DONALD H,28080.0,22.7,104911.0,417475.0,0.0
419 QUEEN ANNE AVENUE LLC,22200.0,11.3,343130.0,178879.0,0.0
423 TERRY PARTNERS LLC,39990.0,4.7,885130.0,0.0,0.0
425 QUEEN ANNE LLC,81560.0,93.1,1880658.0,1564578.0,0.0
4300 ROOSEVELT COMMONS OWNER WA LLC,228732.0,46.6,8757089.0,0.0,0.0
4400 BUILDING LLC,39984.0,33.7,315929.0,602755.0,0.0
442 NE MAPLE PLACE LLC,23248.0,0.0,0.0,0.0,0.0
444 RAVENNA LLC,40768.0,23.2,287080.0,408358.0,0.0
4722 BALLARD AVENUE NW LLC,24000.0,21.0,145801.0,380072.0,0.0
4724 CALIFORNIA AVE DEVELOPMENT CO LLC,114045.0,88.4,1977845.0,1465534.0,0.0
4730 32ND AVENUE DEVELOPMENT II LLC,145509.0,113.3,2087045.0,1924548.0,0.0
4730 CALIFORNIA LLC,84970.0,52.1,2198935.0,760716.0,0.0
47TH STREET DEVELOPMENT LLLP,39636.0,9.7,1761247.0,6421.0,0.0
4800 DENVER LLC,30000.0,116.6,327670.0,2161815.0,0.0
4801 FAUNTLEROY LLC,28910.0,23.0,692558.0,362889.0,0.0
4821 FAUNTLEROY LLC,21596.0,3.2,610309.0,0.0,0.0
4TH AVENUE BLDG LLC,35840.0,18.2,379934.0,303846.0,0.0
500 BELMONT AVENUE E LLC,42064.0,7.2,1347947.0,0.0,0.0
505 UNION STATION LTD,312512.0,118.4,22126039.0,14692.0,0.0
510 BROADWAY PARTNERS LLC,26000.0,0.0,0.0,0.0,0.0
510/520 FOURTH WEST PROPERTIES,37340.0,4.9,920602.0,0.0,0.0
520 PIKE STREET INC,500000.0,80.5,15142067.0,0.0,0.0
5200 UNIVERSITY WAY LLC,22405.0,3.0,558322.0,0.0,0.0
5814 WESTWOOD APTS LLC,24828.0,107.5,238739.0,1999902.0,0.0
5901 FOURTH LLC,26660.0,11.3,2127342.0,0.0,0.0
5940 MARTIN LUTHER KING WAY SOUTH LLC,27435.0,49.0,749891.0,847312.0,0.0
5950 BUILDING LLC,24000.0,5.1,951581.0,0.0,0.0
5TH AVE MEDICAL ASSOCIATES LLC,28841.0,28.4,834651.0,451055.0,0.0
600 BELLEVUE AVENUE E LLC,34824.0,4.8,900080.0,0.0,0.0
601 PINE STREET INVESTMENT GROUP INC,78920.0,21.2,3991474.0,0.0,0.0
6023 SW STEVENS LLC,21642.0,3.0,562699.0,0.0,0.0
605 15TH AVENUE LLC,28431.0,22.9,759784.0,354691.0,0.0
615 SOUTH ALASKA LLC,21101.0,37.1,177794.0,680570.0,0.0
616 1ST AVENUE LLC,23622.0,5.3,909639.0,9465.0,0.0
618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,163984.0,309.3,4721618.0,5351700.0,0.0
624 YALE OWNER LLC,214565.0,146.9,3816056.0,2383221.0,0.0
6301 15TH AVE NW LLC,33045.0,24.5,505660.0,410447.0,0.0
6312 CALIFORNIA AVENUE LLC,54871.0,8.1,1520381.0,0.0,0.0
640 SPOKANE LLC,27933.0,61.8,11613093.0,0.0,0.0
650 SIW QOZB LLC,23296.0,23.0,530327.0,379578.0,0.0
66 SOUTH HANFORD STREET LIMITED PARTNERSHIP,39036.0,34.3,682556.0,577402.0,0.0
6600 URSULA SO L L C C/O LOREN MAJERES,22800.0,70.9,466329.0,1289091.0,0.0
6700 ROOSEVELT APARTMENTS LLC,80701.0,9.7,1831283.0,0.0,0.0
68TH AND ROOSEVELT LLC,73179.0,9.3,1750785.0,0.0,0.0
6TH & HOLGATE BUILDING LLC,149881.0,130.6,6037578.0,1853938.0,0.0
70/47 LLC,69881.0,30.0,1250940.0,439488.0,0.0
700 BROADWAY MOB LLC,39115.0,58.0,1896671.0,901753.0,0.0
700 BROADWAY OWNER LLC,56867.0,66.8,1705071.0,1086203.0,0.0
700 OLIVE LP  % CLISE PROPERTIES,632856.0,353.0,29973799.0,3646167.0,0.0
7011 ROOSEVELT WAY NE LLC,31016.0,25.8,524047.0,434238.0,0.0
710 SECOND AVE (WA) OWNER LLC,388934.0,291.9,10237808.0,0.0,2860589.0
7747 AVIATION LLC,77075.0,115.1,1970859.0,1970151.0,0.0
7901 DELRIDGE WAY OWNER WA LP,227172.0,48.199999999999996,8708404.0,35828.0,0.0
8 S WELLER LLC,23472.0,1.4,258425.0,0.0,0.0
800 STEWART LLC,32256.0,103.4,1602285.0,1787345.0,0.0
801 DEXTER INVESTORS L P,305537.0,186.3,4961863.0,3011233.0,0.0
820 NW 95TH STREET PROPERTY LLC,34636.0,277.3,3255145.0,4896163.0,0.0
8512 35TH AVENUE LLC,26853.0,24.3,944169.0,362216.0,0.0
88 VINE LLC,23000.0,30.7,296095.0,548824.0,0.0
888 WESTERN AVENUE LLC,120836.0,133.8,6817548.0,1836959.0,0.0
8TH & PINE JOINT VENTURE,88502.0,98.6,1940292.0,1661402.0,0.0
9 TO 5 LLC,20660.0,2.9,551069.0,0.0,0.0
900 E PINE LLC,27938.0,5.9,1062826.0,4713.0,0.0
900 QUEEN ANNE LLC,35178.0,58.5,357433.0,1065801.0,0.0
900 VIRGINIA STREET LLC,28800.0,5.5,518682.0,51410.0,0.0
9100 ROOSEVELT 2021 LLC +JIMMYJAX 9100 2021 LLC,20176.0,3.3,612401.0,0.0,0.0
914 EAST TERRACE LLC,22777.0,0.0,0.0,0.0,0.0
954 EAST UNION LLC,107556.0,13.3,2507904.0,0.0,0.0
9620 STONE AVENUE NORTH LLC,25111.0,20.8,449376.0,346808.0,0.0
9709 THIRD AVENUE INVESTORS LLC,127392.0,37.4,7024325.0,0.0,0.0
975 JOHN STREET LLC,75654.0,42.2,1429773.0,652161.0,0.0
98 NORFOLK LLC,60448.0,15.8,486957.0,249339.0,0.0
9TH & REPUBLICAN LLC,103931.0,14.6,2748838.0,0.0,0.0
A-1 SELF STORAGE LLC,39952.0,0.0,0.0,0.0,0.0
A2A LLC,20400.0,19.9,290701.0,345913.0,0.0
AAC/FSC CLOCKTOWER INVESTORS LLC,113994.0,19.9,3743496.0,0.0,0.0
ABADAN HOLDINGS LLC,70889.0,21.5,1762648.0,226646.0,0.0
ABBOTSFORD 151 LLC,43128.0,32.2,975511.0,508073.0,0.0
ABC PACIFIC CORPORATION $T,58480.0,158.8,5222458.0,2467165.0,0.0
ABONITA LLC,27792.0,29.1,688686.0,478068.0,0.0
ABSAROKA HOLDINGS LLC,150549.0,19.6,3672230.0,0.0,0.0
ACADEMIA PLACE LLC,22694.0,12.7,294298.0,209780.0,0.0
ACC OP (CORE) LLC,114062.0,133.7,2645761.0,2253109.0,0.0
ACC OP 11TH AVE LLC,187477.0,85.5,3359235.0,1274091.0,0.0
ACC OP 12TH AVENUE LLC,308754.0,120.6,4947840.0,1775507.0,0.0
ACES FOUR LLC,20975.0,0.0,0.0,0.0,0.0
ACI REAL ESTATE SPE 137 LLC,38000.0,341.4,6723152.0,5755700.0,0.0
ACME WMR ORI LLC,36356.0,28.7,793730.0,460781.0,0.0
ACME WMR PARK 3025 LLC,93087.0,23.2,1775338.0,258940.0,0.0
ACME WMR REMI LLC,36900.0,7.7,1439882.0,0.0,0.0
ACME WMR THE Q APARTMENT LLC,84138.0,170.2,1074414.0,3097379.0,0.0
ACORN DEVELOPMENT LLC,1830573.0,93.5,17578900.0,0.0,0.0
ACRS COMMUNITY SERVICE CENTER L L C,55188.0,95.8,1832868.0,1620254.0,0.0
ACTIVSPACE AT LUNA PARK LLC,35176.0,5.2,981610.0,0.0,0.0
AD 936 N 34TH ST LLC,23307.0,23.8,497870.0,398870.0,0.0
ADAMS PAUL G,24696.0,20.9,428132.0,350472.0,0.0
ADELAIDE LLC,20600.0,48.0,348425.0,868935.0,0.0
ADELPHI LLC,25475.0,52.9,210479.0,975890.0,0.0
ADMIRAL APARTMENTS L L C,23671.0,15.9,503442.0,248286.0,0.0
ADMIRAL FARM TO MARKET L L C,31841.0,356.8,5346225.0,6182101.0,0.0
ADRIA NORTHSTAR PROPERTIES LLC,20280.0,2.8,527491.0,0.0,0.0
AEW SBCO SEATTLE LLC,88424.0,0.0,0.0,0.0,0.0
AGC ARTHOUSE OWNER LLC,109745.0,58.4,2016487.0,897994.0,0.0
AGNES PISTON L L C,32881.0,99.9,1186991.0,1762801.0,0.0
AHSANI CYRUS SAEID,22160.0,15.9,375304.0,262464.0,0.0
AKI 1 LLC,29810.0,11.1,2090272.0,0.0,0.0
ALADDIN LLC % DAVID+ANNE G HURLBUT,38035.0,4.8,908821.0,0.0,0.0
ALASKA HOUSE LLC,64602.0,65.4,2500712.0,981520.0,0.0
ALASKA TRADE BLDG LLC,36160.0,9.6,1796375.0,0.0,0.0
ALASKAN COPPER COMPANIES INC,160000.0,0.0,0.0,0.0,0.0
ALISUE LLC,46068.0,405.3,6631935.0,6968000.0,0.0
ALJOYA THORNTON PLACE LLC,179775.0,211.6,6123281.0,3371938.0,0.0
ALKI 37 LLC,23820.0,6.0,1130593.0,0.0,0.0
ALKI PARK APTS 2012 LLC +4128 12TH AVE NE 2016 LLC,20480.0,3.3,615997.0,0.0,0.0
ALKI PLACE APARTMENTS LLC,24711.0,3.1,577975.0,0.0,0.0
ALKI SHORES L L C,22982.0,2.9,550284.0,0.0,0.0
ALLEGRO APARTMENTS LLC,26120.0,64.8,2145424.0,1005757.0,0.0
ALLEY SEATTLE LLC,171874.0,135.0,2860766.0,2254964.0,0.0
ALOHA TERRACE ASSOCIATES,28674.0,9.3,669287.0,107423.0,0.0
ALPHA Z SEATTLE OFFICE 1 LLC,40000.0,0.0,0.0,0.0,0.0
ALPS HOTEL LLC,35170.0,25.4,1360677.0,342916.0,0.0
ALTHOFF FAMILY LP,25514.0,31.4,501831.0,540183.0,0.0
ALTO 92 OWNER LP,141084.0,150.8,3509075.0,2487649.0,0.0
ALWAYS COMPETE LLC,21130.0,62.8,131432.0,1169002.0,0.0
AMB US LOGISTICS FUND LP,411584.0,280.9,4407707.0,4847181.0,0.0
AMD ROOSEVELT L L C,29513.0,152.2,367497.0,2829449.0,0.0
AMERICAN FAMILY LLC,101881.0,60.5,486355.0,1091063.0,0.0
AMERICAN HOTEL BUILDING LLC,33018.0,135.4,1402022.0,2409499.0,0.0
AMFP V AMESBURY LLC,122016.0,14.6,2760170.0,0.0,0.0
AMSTAR KOZ SLU LLC,25000.0,2.9,554427.0,0.0,0.0
ANDREWS APARTMENTS LLC,20022.0,18.9,501502.0,305486.0,0.0
ANGELCREST PROPERTY L L C,20642.0,0.0,0.0,0.0,0.0
ANGELINE OWNER LLC,197139.0,222.6,3009700.0,3889707.0,0.0
ANHALT APARTMENT LLC,23293.0,5.7,1069882.0,0.0,0.0
ANNE CRIPPEN MICHELSON LLC,36000.0,8.0,501726.0,101229.0,0.0
ANYU LLC (89.4%)+KREMER FAMILY REVOCABLE TRUST (10.6%),50083.0,15.2,2854097.0,0.0,0.0
AP PINE AND BOYLSTON LLC,27600.0,4.4,836486.0,0.0,0.0
APERTURE ON FIFTH AVE APARTMENTS LLC,67708.0,53.8,1848722.0,827054.0,0.0
APPLE NINE SEATTLE FEE OWNER INC,238097.0,434.2,7571382.0,7417559.0,0.0
AQUA TERRACE LLC,22937.0,3.0,565666.0,0.0,0.0
AR PIKE II LLC,24750.0,32.7,362515.0,578922.0,0.0
ARCHDIOCESAN HOUSING AUTHORITY,137372.0,199.6,4999665.0,3255895.0,0.0
ARCHDIOCESAN HOUSING AUTHORITY C/O CATHOLIC HOUSING SERVICES OF WESTERN WASHINGTON,51976.0,131.9,1520492.0,2331894.0,0.0
ARCTIC CLUB HOTEL LLC,104352.0,131.4,3488511.0,106573.0,1290818.0
ARDA LLC,35028.0,6.2,1168479.0,0.0,0.0
ARE EASTLAKE AVENUE NO 3 LLC,167988.0,1170.1,29139002.0,19114072.0,0.0
ARE SEATTLE NO 10 LLC,34416.0,426.9,3841840.0,7653181.0,0.0
ARE SEATTLE NO 11 LLC,120200.0,311.1,19746141.0,3881374.0,0.0
ARE SEATTLE NO 37 HOLDING LLC,40970.0,0.0,0.0,0.0,0.0
ARE SEATTLE NO 45 OWNER LLC,293826.0,1126.5,23834052.0,18824233.0,0.0
ARE-3000/3018 WESTERN L L C,49249.0,1103.0,9121590.0,19854281.0,0.0
ARE-SEATTLE NO 14 LLC,27640.0,19.2,3619388.0,0.0,0.0
ARE-SEATTLE NO 33 LLC,61800.0,13.9,2621235.0,0.0,0.0
AREC RW MS LLC C/O U-HAUL INTERNATIONAL INC,23100.0,3.4,490837.0,14191.0,0.0
AREIS GROUP LLC,32297.0,7.4,1392264.0,0.0,0.0
ARGONAUT PROPERTIES INC,37600.0,24.5,464874.0,415053.0,0.0
ARIMOCC LLC,24556.0,3.8,722513.0,0.0,0.0
ARION INVESTMENT L L C,41064.0,5.3,995249.0,0.0,0.0
ARLLIS ARMS APARTMENTS LLC,26172.0,4.2,784810.0,0.0,0.0
ARPEG HOLDINGS 1956 LLC,22059.0,67.3,302133.0,1237483.0,0.0
ARRENDELL AMY+ARRENDELL REVOCABLE LIVING TRUST AMY +ET AL,57428.0,16.5,697601.0,240718.0,0.0
ARTSPACE HIAWATHA LIMITED PARTNERSHP,45956.0,10.9,2043256.0,0.0,0.0
ARZCO 1 INVESTMENT CORP,40260.0,7.8,1459310.0,0.0,0.0
ASAR LLC,80494.0,82.8,2264323.0,1330722.0,0.0
ASB REO FLATS LLC,88455.0,111.0,2390254.0,1850942.0,0.0
ASB SUNSET ELECTRIC LLC,99700.0,12.4,1781303.0,54406.0,0.0
ASC ADMIRAL WAY LLC,67626.0,150.3,2581538.0,2571701.0,0.0
ASC MADISON LLC,72805.0,203.3,3997390.0,3427225.0,0.0
ASC QUEEN ANNE LLC,41010.0,55.5,1637692.0,881949.0,0.0
ASC QUEEN ANNE SPU LLC,139061.0,94.9,3584098.0,1428263.0,0.0
ASC RAVENNA LLC,61429.0,12.8,2412109.0,0.0,0.0
ASCONA SEATTLE LLC,40420.0,35.0,727810.0,586624.0,0.0
ASHFORD SEATTLE WATERFRONT L P,215473.0,463.8,8614474.0,7870545.0,0.0
ASIAN PACIFIC PROPERTIES L.L.C,26579.0,136.6,1752889.0,2396083.0,0.0
ASIAN PACIFIC PROPERTIES LLC,21245.0,53.7,909457.0,919831.0,0.0
ASN SEATTLE LLC,171869.0,97.5,4203137.0,1415790.0,0.0
ASPEN FLOWER LLC+MAYFLOWER HOTEL OWNER LLC,88434.0,169.1,2734351.0,632586.0,1457837.0
ASSOCIATED CATHOLIC CEMETERIES,30438.0,75.2,1041284.0,0.0,839547.0
ASSOCIATED GENERAL CONTRACTORS,124721.0,292.1,5177983.0,4981279.0,0.0
ASTOR COURT LLC,25507.0,4.4,818521.0,0.0,0.0
ATALANTA 5631 CALIFORNIA AVE LLC,23932.0,2.9,541463.0,0.0,0.0
ATHENAS OWL LLC,20088.0,0.0,0.0,0.0,0.0
ATHLON LLC,38797.0,4.2,789720.0,0.0,0.0
AUBOMBOLI ITALIANE REAL ESTATE INVESTMET,36000.0,33.0,600648.0,561531.0,0.0
AUDITORIUM APARTMENTS LLC,33694.0,30.5,823712.0,492568.0,0.0
AUGUSTA OWNER LLC,211754.0,21.0,3951519.0,0.0,0.0
AURORA HOUSING DEVELOPMENT LLC,34723.0,31.1,1415077.0,442988.0,0.0
AVALON 210 WALL LLC,316083.0,221.7,7726679.0,3400531.0,0.0
AVALON ARTISTS LLC,25881.0,12.2,784725.0,151002.0,0.0
AVALON BELLTOWN LLC,94595.0,16.1,3021161.0,0.0,0.0
AVALON WEST PARTNERS LLC,21294.0,3.1,586404.0,0.0,0.0
AVANTE APARTMENTS L L C,22326.0,3.0,569305.0,0.0,0.0
AVIA SEA PIKE LLC,128375.0,172.2,4721062.0,2769020.0,0.0
B & B PARTNERS II LLC,38412.0,74.2,393128.0,1357757.0,0.0
B & O DEVELOPMENT L L C,72528.0,56.4,3347761.0,727208.0,0.0
B&E INVESTMENTS LLC,44775.0,12.2,253944.0,203967.0,0.0
B'NAI B'RITH HILLEL FNTDTN AT THE UW,21075.0,51.1,493359.0,913065.0,0.0
B9 SS 40TH AVE OWNER LLC,48001.0,0.0,0.0,0.0,0.0
BAILEY WILLIAM F,39030.0,16.6,546829.0,258379.0,0.0
BALACLAVA HOLDINGS INC,153006.0,21.5,4050331.0,0.0,0.0
BALLARD 80 F1 LLC,53041.0,70.0,805072.0,1237101.0,0.0
BALLARD APARTMENTS LLC,243928.0,213.6,4909059.0,3531120.0,0.0
BALLARD ASSOC LLC,23500.0,11.8,695699.0,152985.0,0.0
BALLARD HEALTHCARE INVESTORS LLC,92477.0,39.4,7402262.0,0.0,0.0
BALLARD LANDMARK INN LLC,153847.0,142.1,5671211.0,2108648.0,0.0
